variant,canonical_locality,ward_name,ward_no,zone
mayurvihar phase 1,mayur vihar phase 1,mayur vihar phase-i,191,east zone
majlis park delhi,majlis park,adarsh nagar,15,civil lines zone
eastofkailash,east of kailash,amar colony,146,central zone
palam coloni,palam colony,raj nagar,134,najafgarh zone
tilak nagar road market,tilak nagar market,tilak nagar,101,west zone
रानी गार्डन बस्ती,रानी गार्डन,गीता कॉलोनी,210,शाहदरा साउथ ज़ोन
meerabagh,meera bagh,paschim vihar,59,keshav puram zone
east vinod nager,east vinod nagar,vinod nagar,198,east zone
govindpuri area,govindpuri,govind puri,176,south zone
trlokpuri block 15,trilokpuri block 15,trilokpuri,192,east zone
naya rajinder nagar,new rajinder nagar,rajinder nagar,141,karol bagh zone
महरौली के अंदरूनी वार्ड,महरौली वार्ड 1 से 8,महरौली,155,साउथ ज़ोन
जामिया मिलिया,जामिया मिलिया इस्लामिया,जाकिर नगर,189,सेंट्रल ज़ोन
पश्चिम विहार ईस्ट एरिया,पश्चिम विहार ईस्ट,पश्चिम विहार,59,केशव पुरम ज़ोन
jail road delhi,jail road area,fateh nagar,100,west zone
jhilmil indus. area,jhilmil industrial area,jhilmil,216,shahdara south zone
sonia vihar extension area,sonia vihar extension,sabapur,250,shahdara north zone
badli vill,badli village,samaypur badli,20,civil lines zone
bhajanpura chowk,bhajanpura,bhajanpura (gen),230,shahdara north zone
bholanathnagar,bholanath nagar,shahdara,215,shahdara south zone
dabri gaon delhi,dabri village,dabri,117,najafgarh zone
okla phase 2,okhla phase 2,harkesh nagar,177,south zone
sangam park colony,sangam park,sangam park,67,keshav puram zone
usmanpur gaon,usmanpur,gautam puri (gen.),226,shahdara north zone
ram krishna puram sector 11,rk puram sector 11,r.k. puram,152,south zone
todapur area,todapur,inder puri,140,karol bagh zone
kirari village side,kirari suleman nagar,kirari,37,rohini zone
शास्त्री पार्क एरिया,शास्त्री पार्क,शास्त्री पार्क,213,शाहदरा नॉर्थ ज़ोन
raj nagar pt 1,raj nagar part 1,manglapuri,119,najafgarh zone
कबीर नगर बस्ती,कबीर नगर,कबीर नगर (gen),234,शाहदरा नॉर्थ ज़ोन
sangam vihar blkg,sangam vihar block g,sangam vihar-c,168,south zone
secter 21,sector 21,aman vihar,41,rohini zone
harkesh nager,harkesh nagar,harkesh nagar,177,south zone
हस्तसाल गांव,हस्तसाल गाँव,हस्तसाल,108,वेस्ट ज़ोन
डियर पार्क दिलशाद गार्डन,डियर पार्क,दिलशाद गार्डन,219,शाहदरा नॉर्थ ज़ोन
jyoti nagar area,jyoti nagar (parts),kardam puri,236,shahdara north zone
madhu vhar,madhu vihar,madhu vihar,136,najafgarh zone
nnakpura,nanakpura,r.k. puram,152,south zone
शालीमार बाग डी ब्लाक,शालीमार बाग ब्लॉक डी,शालीमार बाग - बी,56,केशव पुरम ज़ोन
सरस्वती कुंज कॉलोनी,सरस्वती कुंज,आईपी एक्सटेंशन,205,ईस्ट ज़ोन
समता बिहार,समता विहार,मुकुंदपुर,8,सिविल लाइंस ज़ोन
kishan ganj railway colony delhi,kishan ganj railway colony,kishan ganj,71,city sp zone
issapur village,isapur village,isapur,126,najafgarh zone
मादीपुर जेजे क्लस्टर,मादीपुर जेजे कॉलोनी,मादीपुर,93,वेस्ट ज़ोन
विकास कुंज,विकास कुंज,केशोपुर,103,वेस्ट ज़ोन
rohini sec 16a block,rohini sector 16 block a,rohini-b,22,rohini zone
narelasector a4,narela sector a-4,bankner,2,narela zone
rk puram sector 8,rk puram sector 8,r.k. puram,152,south zone
trilokpuriblock 10,trilokpuri block 10,trilokpuri,192,east zone
आरके पुरम सेक्टर ३,आरके पुरम सेक्टर 3,आर.के. पुरम,152,साउथ ज़ोन
अमन विहार सुल्तानपुरी साइड,अमन विहार,अमन विहार,41,रोहिणी ज़ोन
रवि नगर ख्याला के पास,रवि नगर,विष्णु गार्डन,95,वेस्ट ज़ोन
कापसहेड़ा गांव,कापसहेड़ा गाँव,कापसहेड़ा,132,नजफगढ़ ज़ोन
sangam vihar block c delhi,sangam vihar block c,sangam vihar - a,163,south zone
चन्द्र नगर,चंदर नगर,जगतपुरी,209,शाहदरा साउथ ज़ोन
golcha cinema lane,golcha cinema area,daryaganj,142,city sp zone
r k puram sector 11,rk puram sector 11,r.k. puram,152,south zone
सेक्टर १२ द्वारका,द्वारका सेक्टर 12,द्वारका - बी,120,नजफगढ़ ज़ोन
खिड़की एक्सटेंशन रोड,खिड़की एक्सटेंशन,मालवीय नगर,149,साउथ ज़ोन
pankha road main,pankha road,janak puri south,104,west zone
n j f road,najafgarh road,nangli sakrawati,124,najafgarh zone
alipoor village,alipur village,alipur,4,narela zone
rohini sec 15,rohini sector 15,rohini-b,22,rohini zone
ताहिरपुर ग्राम,ताहिरपुर गांव,दिलशाद कॉलोनी,217,शाहदरा साउथ ज़ोन
भाग्य विहार वाली गली,भाग्य विहार,मुबारिकपुर,39,रोहिणी ज़ोन
रोहिणी सैक्टर 8,रोहिणी सेक्टर 8,रोहिणी-ए,21,रोहिणी ज़ोन
चिराग दिल्ली विलेज,चिराग दिल्ली गाँव,चिराग दिल्ली,172,साउथ ज़ोन
rhni sec 2,rohini sector 2,rohini-f,52,rohini zone
majlis park metro,majlis park,adarsh nagar,15,civil lines zone
भाटी माइंस कॉलोनी,भाटी माइंस,भाटी,158,साउथ ज़ोन
सूरज कुंज रोड,सूरजकुंड रोड,पुल प्रह्लादपुर,179,साउथ ज़ोन
नजफगढ़ फिरनी रोड,नजफगढ़ फिरनी रोड,नजफगढ़,127,नजफगढ़ ज़ोन
मोहन गार्डन पीपल वाला चौक,मोहन गार्डन,मोहन गार्डन,113,नजफगढ़ ज़ोन
mohan garden uttam nagar side,mohan garden,mohan garden,113,najafgarh zone
kondli vill,kondli village,kondli,193,east zone
moti nagar delhi,moti nagar,moti nagar,90,karol bagh zone
trilok puri block 10,trilokpuri block 10,trilokpuri,192,east zone
रोहिणी सैक्टर 20,सेक्टर 20,अमन विहार,41,रोहिणी ज़ोन
नरेला सेक्टर ए4,नरेला सेक्टर ए-4,बांकनेर,2,नरेला ज़ोन
janakpuric block,janakpuri block c,janak puri south,104,west zone
dhirpur vill,dhirpur village,dhirpur,14,civil lines zone
पटपरगंज गांव,पटपड़गंज गाँव,पटपड़गंज,197,ईस्ट ज़ोन
hiranki village,hiranki,bakhtawarpur,5,narela zone
mahpalpur village,mahipalpur village,mahipalpur,133,najafgarh zone
sda hauz khas side,sda,green park,150,south zone
mangol puri block,mangolpuri blocks,mangol puri,42,rohini zone
guru ram das nagar,guru ram das nagar,shakarpur,202,east zone
दिपाली,दीपाली,सरस्वती विहार,58,केशव पुरम ज़ोन
दिचाऊँ कलां गाँव,दिचाऊँ कलां गाँव,दिचाऊँ कलां,128,नजफगढ़ ज़ोन
रोहिणी सेक्टर 9,रोहिणी सेक्टर 9,रोहिणी-सी,51,रोहिणी ज़ोन
trilokpuri blk2,trilokpuri block 2,trilokpuri,192,east zone
pitampura cd market,pitampura cd,pitam pura,57,keshav puram zone
शिवजी पार्क,शिवाजी पार्क,पंजाबी बाग,92,केशव पुरम ज़ोन
झिलमिल कॉलोनी दिल्ली,झिलमिल कॉलोनी,झिलमिल,216,शाहदरा साउथ ज़ोन
karkarduma area,karkardooma,anand vihar,206,shahdara south zone
चाँद बाग बस्ती,चाँद बाग,मुस्तफाबाद,243,शाहदरा नॉर्थ ज़ोन
तिमार पुर विलेज,तिमारपुर गाँव,तिमारपुर,11,सिविल लाइंस ज़ोन
विजय विहार फेज़ 1,विजय विहार फेज़ 1,विजय विहार,24,रोहिणी ज़ोन
shastri nager,shastri nagar,shastri nagar,70,city sp zone
isapur delhi,isapur village,isapur,126,najafgarh zone
gaffar market karol bagh,ghaffar market,karol bagh,83,karol bagh zone
पहाड़गंज मेन मार्केट,पहाड़गंज मेन बाज़ार,पहाड़गंज,82,सिटी एसपी ज़ोन
morya enclave,maurya enclave,pitam pura,57,keshav puram zone
arjan garh metro,arjan garh,aya nagar,157,south zone
sanjay colony delhi,sanjay colony,harkesh nagar,177,south zone
बीडीओ ऑफिस वाला इलाका,बीडीओ ऑफिस एरिया,अलीपुर,4,नरेला ज़ोन
जेएनयू कैंपस,जेएनयू कैंपस,मुनिरका,151,साउथ ज़ोन
असोला गांव,असोला,छतरपुर,159,साउथ ज़ोन
बुरारी पब्लिक स्कूल एरिया,बुराड़ी पब्लिक स्कूल एरिया,झड़ौदा,10,सिविल लाइंस ज़ोन
nrelaseca4,narela sector a-4,bankner,2,narela zone
ashok vihar ph 3,ashok vihar phase 3,ashok vihar,65,keshav puram zone
sanjay colony road,sanjay colony,bhati,158,south zone
राम पार्क,रामा पार्क,मोहन गार्डन,113,नजफगढ़ ज़ोन
saidulajab village,saidulajab village,said- ul-ajaib,160,south zone
meethapur badarpur,meethapur village,meethapur,182,south zone
vijay vihar ph-2,vijay vihar phase 2,vijay vihar,24,rohini zone
trilok puri block 6,trilokpuri block 6,trilokpuri,192,east zone
civillines,civil lines,civil lines,73,civil lines zone
shalimar bagh block a,shalimar bagh block a,shalimar bagh - a,55,keshav puram zone
lal quarter krishna nagar,lal quarter market,krishna nagar,211,shahdara south zone
पुष्प विहार ५,पुष्प विहार सेक्टर 5,पुष्प विहार,166,साउथ ज़ोन
masoodpur dairy side,masoodpur,vasant kunj,156,south zone
बाबा कॉलोनी,बाबा कॉलोनी,बुराड़ी,6,सिविल लाइंस ज़ोन
जवाहर पार्क दिल्ली,जवाहर पार्क,देवली,161,साउथ ज़ोन
जाकिर नगर चौक,जाकिर नगर,जाकिर नगर,189,सेंट्रल ज़ोन
sagarpur w block,sagarpur west,sagarpur,118,najafgarh zone
योजना विहार कॉलोनी,योजना विहार,आनंद विहार,206,शाहदरा साउथ ज़ोन
prasant vihar,prashant vihar,rohini-c,51,rohini zone
ईस्ट पटेल नगर,ईस्ट पटेल नगर,ईस्ट पटेल नगर,86,करोल बाग ज़ोन
आरके पुरम २ नंबर सेक्टर,आरके पुरम सेक्टर 2,आर.के. पुरम,152,साउथ ज़ोन
बापरोला गाँव,बापरोला गाँव,बापरोला,111,नजफगढ़ ज़ोन
hemkunt colony,hemkunt colony,greater kailash,173,south zone
kanjhawala vllg,kanjhawala village,kanjhawala,32,narela zone
narela secter a2,narela sector a-2,bankner,2,narela zone
chanakyaplace,chanakya place,dabri,117,najafgarh zone
ग्रीन पार्क वाली गली,ग्रीन पार्क,ग्रीन पार्क,150,साउथ ज़ोन
बिन्दापुर गांव,बिंदापुर गाँव,बिंदापुर,116,नजफगढ़ ज़ोन
mitrao,mitraon,dichaon kalan,128,najafgarh zone
welcome 2,welcome phase 2,welcome colony,224,shahdara north zone
babaa colony,baba colony,burari,6,civil lines zone
west patelnagar,west patel nagar,west patel nagar,85,karol bagh zone
kakrola vill,kakrola village,kakrola,123,najafgarh zone
trilokpuri blk 5,trilokpuri block 5,trilokpuri,192,east zone
bhagwan nagar sidhartha nagar,bhagwan nagar,sidhartha nagar,143,central zone
जाफराबाद कॉलोनी,जाफराबाद,चौहान बांगर (women),227,शाहदरा नॉर्थ ज़ोन
motinagar,moti nagar,moti nagar,90,karol bagh zone
सुल्तानपुरी ब्लॉक बी दिल्ली,सुल्तानपुरी ब्लॉक बी,सुल्तानपुरी-ए,43,रोहिणी ज़ोन
janakpuri c block,janakpuri block c,janak puri south,104,west zone
raj nagar part two,raj nagar part 2,manglapuri,119,najafgarh zone
lal quarter market,lal quarter market,krishna nagar,211,shahdara south zone
aman vihar sultanpuri side,aman vihar,aman vihar,41,rohini zone
dallupura delhi,dallupura,gharoli,194,east zone
baproala village,baprola village,baprola,111,najafgarh zone
आर के पुरम सेक्टर ६,आरके पुरम सेक्टर 6,आर.के. पुरम,152,साउथ ज़ोन
bhera enclave rohini,bhera enclave,guru harkishan nagar,48,rohini zone
वज़ीरपुर जेजे बस्ती,वज़ीरपुर जेजे कॉलोनी,वज़ीरपुर,66,केशव पुरम ज़ोन
narela sector a 3,narela sector a-3,bankner,2,narela zone
सरिता विहार पॉकेट के कॉलोनी,सरिता विहार पॉकेट के,सरिता विहार,187,साउथ ज़ोन
सुदर्शन पार्क ब्लॉक,सुदर्शन पार्क,मोती नगर,90,करोल बाग ज़ोन
shahdara mandi delhi,shahdara mandi,shahdara,215,shahdara south zone
द्वारका सेक 8,द्वारका सेक्टर 8,द्वारका - ए,121,नजफगढ़ ज़ोन
ip extn,ip extension,ip extension,205,east zone
सोनिया विहार विस्तार,सोनिया विहार एक्सटेंशन,सबापुर,250,शाहदरा नॉर्थ ज़ोन
kunwar singh nagar nilothi,kunwar singh nagar,kunwar singh,110,najafgarh zone
paharganj main bazar,paharganj main bazar,pahar ganj,82,city sp zone
janakpuri blk d,janakpuri block d,janak puri south,104,west zone
श्री राम कॉलोनी एरिया,श्री राम कॉलोनी,श्री राम कॉलोनी,246,शाहदरा नॉर्थ ज़ोन
bara hindu rao area,bara hindu rao,sadar bazar,72,city sp zone
कन्हैया नगर मेट्रो,कन्हैया नगर,केशव पुरम,64,केशव पुरम ज़ोन
दिलसाद कॉलोनी,दिलशाद कॉलोनी,दिलशाद कॉलोनी,217,शाहदरा साउथ ज़ोन
model town block 1,model town 1,model town,68,keshav puram zone
डियर पार्क पार्क एरिया,डियर पार्क,दिलशाद गार्डन,219,शाहदरा नॉर्थ ज़ोन
nilothi ext area,nilothi extension,nilothi,36,rohini zone
मॉडल टाउन तीसरा फेज़,मॉडल टाउन फेज़ 3,आज़ादपुर,16,सिविल लाइंस ज़ोन
jyoti nager,jyoti nagar (parts),kardam puri,236,shahdara north zone
ashok vihaar phase 3,ashok vihar phase 3,ashok vihar,65,keshav puram zone
पुल प्रह्लादपुर,पुल प्रह्लादपुर,पुल प्रह्लादपुर,179,साउथ ज़ोन
jamia campus,jamia millia islamia,zakir nagar,189,central zone
bawana gaon,bawana village,bawana,30,narela zone
meera bagh chowk,meera bagh,paschim vihar,59,keshav puram zone
पीतमपुरा सी-डी,पीतमपुरा सीडी,पीतमपुरा,57,केशव पुरम ज़ोन
katurba nagar,kasturba nagar (shahdara),vishwas nagar,207,shahdara south zone
prashnt vihar,prashant vihar,rohini-c,51,rohini zone
patparganj village,patparganj village,patpar ganj,197,east zone
shakur pur village,shakur pur village,shakur pur,62,keshav puram zone
rajiv nagar phase 2,rajiv nagar,begumpur,27,narela zone
नारायणा विहार ब्लॉक,नारायणा विहार,नारायणा,139,करोल बाग ज़ोन
pschim puri,paschim puri,madipur,93,west zone
टाउन हॉल मार्केट,टाउन हॉल,चाँदनी चौक,74,सिटी एसपी ज़ोन
trilokpuri block35,trilokpuri block 35,trilokpuri,192,east zone
manav chowk,manav chowk,rohini-b,22,rohini zone
mehrauli vilage,mehrauli village,mehrauli,155,south zone
trilokpuriblock 22,trilokpuri block 22,trilokpuri,192,east zone
model town 1 delhi,model town 1,model town,68,keshav puram zone
trilokpuri sector 5,trilokpuri block 5,trilokpuri,192,east zone
keval park adarsh nagar,kewal park,adarsh nagar,15,civil lines zone
yamunavihar,yamuna vihar (parts),bhajanpura (gen),230,shahdara north zone
ram nagar paharganj,ram nagar (paharganj),ram nagar,80,city sp zone
आर के पुरम का सेक्टर 2,आरके पुरम सेक्टर 2,आर.के. पुरम,152,साउथ ज़ोन
मंगोलपुरी पुनर्वास दिल्ली,मंगोलपुरी पुनर्वास क्षेत्र,मंगोलपुरी-बी,50,रोहिणी ज़ोन
chhatarpur village,chhatarpur village,chhatarpur,159,south zone
trilokpuri block-33,trilokpuri block 33,trilokpuri,192,east zone
प्रेम नगर भाग 2,प्रेम नगर फेज 2,प्रेम नगर,38,रोहिणी ज़ोन
प्रेम नगर दो,प्रेम नगर फेज 2,प्रेम नगर,38,रोहिणी ज़ोन
i.p. extn,ip extension,ip extension,205,east zone
मैट्रो विहार,मेट्रो विहार,होलांबी कलां,3,नरेला ज़ोन
pandav ngr central,pandav nagar (central),ranjeet nagar,87,karol bagh zone
metro vihar phase 1,metro vihar,holambi kalan,3,narela zone
चाणक्य प्लेस पार्ट 2,चाणक्य प्लेस,डाबड़ी,117,नजफगढ़ ज़ोन
सागरपुर वेस्ट वाली गली,सागरपुर वेस्ट,सागरपुर,118,नजफगढ़ ज़ोन
mehrauly village,mehrauli village,mehrauli,155,south zone
विकास नगर वाली गली,विकास नगर,विकास नगर,109,वेस्ट ज़ोन
rohini sec 5 area,rohini sector 5,rohini-e,53,rohini zone
seeta ram bazar,sita ram bazar,bazar sita ram,78,city sp zone
vasundhara enclave east delhi,vasundhara enclave,new ashok nagar,190,shahdara south zone
बांकनेर ग्राम,बांकनेर गाँव,बांकनेर,2,नरेला ज़ोन
गणेशनगर,गणेश नगर,पांडव नगर,200,ईस्ट ज़ोन
मुनीरका विहार,मुनिरका विहार,मुनिरका,151,साउथ ज़ोन
jawaharnagar,jawahar nagar,malka ganj,12,civil lines zone
samaypur village badli,samaypur village,samaypur badli,20,civil lines zone
रामा पार्क एरिया,रामा पार्क,मोहन गार्डन,113,नजफगढ़ ज़ोन
मंगोलपुरी कलां,मंगोलपुरी कलां,मंगोलपुरी-ए,49,रोहिणी ज़ोन
preeti vihar,preet vihar,preet vihar,204,east zone
ghonda extension,ghonda extension,yamuna vihar (gen.),232,shahdara north zone
krishna nagar,krishna nagar,krishna nagar,211,shahdara south zone
सरिता विहार दिल्ली पॉकेट एल,सरिता विहार pocket l,सरिता विहार,187,साउथ ज़ोन
कंगन हेड़ी ग्राम,कंगन हेड़ी,छावला,125,नजफगढ़ ज़ोन
jahangirpuri blkh,jahangirpuri block h,jahangir puri,18,civil lines zone
लाडो सराय गाँव,लाडो सराय गाँव,लाडो सराय,154,साउथ ज़ोन
burari block a delhi,burari block a,burari,6,civil lines zone
बुराड़ी ग्राम,बुराड़ी गाँव,बुराड़ी,6,सिविल लाइंस ज़ोन
बंगाली कालोनी बुराड़ी,बंगाली कॉलोनी,संत नगर,9,सिविल लाइंस ज़ोन
भेरा एन्क्लेव कालोनी,भेरा एन्क्लेव,गुरु हरकिशन नगर,48,रोहिणी ज़ोन
भलस्वा डैरी,भलस्वा डेयरी,भलस्वा,17,सिविल लाइंस ज़ोन
राज नगर पालम पार्ट 2,राज नगर पार्ट 2,मंगलापुरी,119,नजफगढ़ ज़ोन
हर्ष विहार लोनी साइड,हर्ष विहार,हर्ष विहार,237,शाहदरा नॉर्थ ज़ोन
सरिता विहार पॉकेट एफ,सरिता विहार पॉकेट एफ,सरिता विहार,187,साउथ ज़ोन
घोंडा एक्सटेंशन दिल्ली,घोंडा एक्सटेंशन,यमुना विहार (gen.),232,शाहदरा नॉर्थ ज़ोन
shashtri nagar,shastri nagar,shastri nagar,70,city sp zone
प्रेम नगर प्रथम फेज,प्रेम नगर फेज 1,प्रेम नगर,38,रोहिणी ज़ोन
shrinivaspuri,srinivaspuri,sri niwas puri,174,central zone
ओखला एस्टेट दिल्ली,ओखला एस्टेट,श्रीनिवासपुरी,174,सेंट्रल ज़ोन
धीरपुर गाँव,धीरपुर गाँव,धीरपुर,14,सिविल लाइंस ज़ोन
बृजपुरी एरिया,बृजपुरी,बृजपुरी,245,शाहदरा नॉर्थ ज़ोन
नई सड़क दिल्ली,नई सड़क,चाँदनी चौक,74,सिटी एसपी ज़ोन
रोहिणी सैक्टर 15,रोहिणी सेक्टर 15,रोहिणी-बी,22,रोहिणी ज़ोन
kapashera area,kapashera village,kapashera,132,najafgarh zone
सोनिया विहार पुस्ता एरिया,सोनिया विहार पुस्ता,सोनिया विहार,249,शाहदरा नॉर्थ ज़ोन
त्रिलोकपुरी के रिहायशी ब्लॉक,त्रिलोकपुरी ब्लॉक 1 से 36,त्रिलोकपुरी,192,ईस्ट ज़ोन
nawada vilage,nawada village,nawada,114,najafgarh zone
सत्यवती कॉलेज वाला इलाका,सत्यवती कॉलेज,अशोक विहार,65,केशव पुरम ज़ोन
gk part 1,gk-1,greater kailash,173,south zone
hiderpur,haiderpur,shalimar bagh - a,55,keshav puram zone
न्यू राजेन्द्र नगर,न्यू राजिंदर नगर,राजिंदर नगर,141,करोल बाग ज़ोन
chhatarpur enclave colony,chhatarpur enclave,chhatarpur,159,south zone
माया एन्क्लेव रोड,माया एन्क्लेव,राजौरी गार्डन,96,वेस्ट ज़ोन
रोहिणी सेक्टर 21,सेक्टर 21,अमन विहार,41,रोहिणी ज़ोन
ग्रेटर कैलाश भाग 2,जीके-2,ग्रेटर कैलाश,173,साउथ ज़ोन
shmta vihar,samta vihar,mukundpur,8,civil lines zone
naya kondli,new kondli,kondli,193,east zone
moti nagar metro,moti nagar,moti nagar,90,karol bagh zone
freedom fighter enclave saidulajab,freedom fighter enclave,said- ul-ajaib,160,south zone
jawahar park,jawahar park,deoli,161,south zone
preet vihar delhi,preet vihar,preet vihar,204,east zone
east vinod nagar block,east vinod nagar,vinod nagar,198,east zone
सेक्टर 5 आरके पुरम,आरके पुरम सेक्टर 5,आर.के. पुरम,152,साउथ ज़ोन
bawana vilage,bawana village,bawana,30,narela zone
trilokpuri block-36,trilokpuri block 36,trilokpuri,192,east zone
वसंत कुंज सैक्टर ए,वसंत कुंज सेक्टर ए,वसंत कुंज,156,साउथ ज़ोन
तिमारपुर ग्राम,तिमारपुर गाँव,तिमारपुर,11,सिविल लाइंस ज़ोन
meera bagh area,meera bagh,paschim vihar,59,keshav puram zone
khelgaon delhi,khel gaon,hauj khas,148,south zone
shadipur village,shadipur,west patel nagar,85,karol bagh zone
लाल किला चांदनी चौक,लाल किला,चाँदनी चौक,74,सिटी एसपी ज़ोन
शालीमार बाग सी ब्लॉक एरिया,शालीमार बाग ब्लॉक सी,शालीमार बाग - बी,56,केशव पुरम ज़ोन
derawal nagar area,derawal nagar,model town,68,keshav puram zone
vaishali colony,vaishali,pitam pura,57,keshav puram zone
chandani mahal,chandni mahal,chandani mahal,76,city sp zone
hemkunt colony area,hemkunt colony,greater kailash,173,south zone
चूड़ी वालान,चूड़ी वालाँ,बल्लीमारान,79,सिटी एसपी ज़ोन
चिराग दिल्ली मुख्य गांव,चिराग दिल्ली गाँव,चिराग दिल्ली,172,साउथ ज़ोन
purana mustafabad,old mustafabad (parts),brij puri,245,shahdara north zone
जहाँगीरपुरी ब्लॉक ए,जहाँगीरपुरी ब्लॉक ए,जहाँगीरपुरी,18,सिविल लाइंस ज़ोन
jafrabad market,jafrabad,chauhan banger (women),227,shahdara north zone
kdipur village,kadipur village,kadipur,7,civil lines zone
शांति मोहल्ला रोड,शांति मोहल्ला,गांधी नगर,212,शाहदरा साउथ ज़ोन
sector23 dwarka,dwarka sector 23,dwarka-c,130,najafgarh zone
sanjay colony area,sanjay colony,bhati,158,south zone
preet vihaar,preet vihar,preet vihar,204,east zone
आज़ादपुर मंडी बाजार,आज़ादपुर मंडी,आज़ादपुर,16,सिविल लाइंस ज़ोन
लाजपत नगर - 4,लाजपत नगर 4,लाजपत नगर,144,सेंट्रल ज़ोन
sangam vihar i-blk,sangam vihar block i,sangam vihar-c,168,south zone
रामा पार्क वाली गली,रामा पार्क,मोहन गार्डन,113,नजफगढ़ ज़ोन
bdooficearea,bdo office area,alipur,4,narela zone
kunwar singh nagar area,kunwar singh nagar,kunwar singh,110,najafgarh zone
सेक्टर ए 4,नरेला सेक्टर ए-4,बांकनेर,2,नरेला ज़ोन
सेक्टर-21,सेक्टर 21,अमन विहार,41,रोहिणी ज़ोन
निठारी गांव,निठारी गाँव,निठारी,40,रोहिणी ज़ोन
begumpur malviya nagar,begumpur,malviya nagar,149,south zone
सबोली एक्सटेंशन,सबोली एक्सटेंशन,सबोली,238,शाहदरा नॉर्थ ज़ोन
ujwa vllg,ujwa,isapur,126,najafgarh zone
आईपी एक्सटेंशन,आईपी एक्सटेंशन,आईपी एक्सटेंशन,205,ईस्ट ज़ोन
yusuf sarai area,yusuf sarai,green park,150,south zone
आर के पुरम सेक्टर ११,आरके पुरम सेक्टर 11,आर.के. पुरम,152,साउथ ज़ोन
शाहबाद डेयरी ब्लॉक,शाहबाद डेयरी,शाहबाद डेयरी,28,नरेला ज़ोन
दिलशाद गार्डन ब्लॉक एरिया,दिलशाद गार्डन ब्लॉक,दिलशाद गार्डन,219,शाहदरा नॉर्थ ज़ोन
sultanpuri blockp,sultanpuri block p,sultanpuri-b,44,rohini zone
siddharth extension,siddharth ext,sidhartha nagar,143,central zone
camp no 4 paschim vihar,camp no 4,jawalapuri,45,rohini zone
